name,advantage,who,age,where1,qualification,url
월성원자력 주변지역 장학,학비지원,"대학생,전문대생",,"3개 읍면 : 양남,문무대왕, 감포",,https://www.dreamspon.com/scholarship/view.html?idx=5509
충남대 총동창회 장학,학비지원,충남대학교 재학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5488
굿패밀리 복지장학,학비지원,고등학생 대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5489
서울희망 대학장학,학비지원,"대학생,전문대생 (재학생에 한함)",,"주민등록지, 학교 소재지","기초수급자 , 차상위계층",https://www.dreamspon.com/scholarship/view.html?idx=5503
희망/동행 삼일장학,생활비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5383
새울원자력본부 주변지역 장학,학비지원,고등학생 대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5487
석 박사 여성인재 장학,학비지원,대학원 여학생,,서울및 수도권 소재,,https://www.dreamspon.com/scholarship/view.html?idx=5502
가송재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5471
양천구 미취업 청년 취업장려금,기타,청년,19~34,양천구 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5230
SK케미칼 R&D 산학장학,학비지원,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5501
동대문구 미취업 청년 자격취득 활동비 지원,기타,청년,19~34,동대문구 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5466
정암 글로벌비전 석박사 장학,학비지원,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5500
보건장학회 연구지원장학,기타,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5465
보건장학회 학원지원장학,생활비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5467
더라이트핸즈 선교사자녀 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5463
전라남도 학자금 대출 이자지원,기타,대학생 전문대생 청년(휴학포함),,전라남도 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5479
울진군 대학생 장학,학비지원,대학생 전문대생 청년(휴학포함),,울진군 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5480
대구청년 꿈구는대로 펀딩 지원사업,기타,청년,19~34,대구 거주 ,,https://www.dreamspon.com/scholarship/view.html?idx=5481
김해시 공항소음 대책지역 장학,기타,대학생 전문대생,,김해공항 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5482
바로바로론 사랑나눔 장학,학비지원,대학생,,,"기초수급자 , 차상위계층",https://www.dreamspon.com/scholarship/view.html?idx=5475
익산시 홍제동행복연합 기숙사 입사생 선발,기타,대학생 전문대생,,익산시 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5476
고리원자력 주변지역 장학,학비지원,고등학생 대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5477
정읍시민장학재단 장학,학비지원,대학생 전문대생,,정읍시 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5474
김희경유럽정신문화 장학재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5355
경상남도 노동자 자녀 장학 추가모집,학비지원,대학생,,경상남도 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5426
풀브라이트 언론인 장학,"생활비,기타지원",대학원생 청년,,,,https://www.dreamspon.com/scholarship/view.html?idx=5427
대학생 연합생활관 신규입주 모집,기타,대학생 전문대생 대학원생 ,,,,https://www.dreamspon.com/scholarship/view.html?idx=5446
아주대 김수정 장학,학비지원,대학생 (재학생),,,,https://www.dreamspon.com/scholarship/view.html?idx=5470
이니스프리 모음재단 감귤장학,생활비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5455
학국장학재단 농촌출신 학자금 융자지원,학비지원,대학생 전문대생,,농어촌 지역 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5456
시각장애인 효명장학,학비지원,대학생 대학원생,,,중증시각장애인,https://www.dreamspon.com/scholarship/view.html?idx=5456
종근당고촌학사 입사생 모집,생활비지원,대학생 (남학생만),,서울권 외  지역인자,,https://www.dreamspon.com/scholarship/view.html?idx=5424
경기도 송파학사 입사생 모집,생활비지원,대학생 전문대생 (남학생),,경기도 거주 ,,https://www.dreamspon.com/scholarship/view.html?idx=5454
울산광역시 학자금 대출 이자지원,기타,대학생 ,,,,https://www.dreamspon.com/scholarship/view.html?idx=5422
불광작학회 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5453
광진구 장학,학비지원,고등학생 대학생,,광진구 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5452
경기도 청년 취업 지원 프로그램,기타,청년,,경기도 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5421
성련장학재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5439
서암윤세영재단 장학,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5458
대학 대학원생 OK생활장학,학비지원,대학생 대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5444
서울 장애인 씨알장학,학비지원,대학생 전문대생 대학원생 ,,"서울 소재 대학 재학, 서울 주소지 타 대학",장애학생,https://www.dreamspon.com/scholarship/view.html?idx=5418
한국전력전우회 섬사랑 장학,학비지원,대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5443
새희망힐링펀드 장학,생활비지원,고등학생 대학생,34세 이하,,기초수급자 차상위계층,https://www.dreamspon.com/scholarship/view.html?idx=5381
포스코 비전 장학,학비지원,대학생,,포항 광양 소재 고등학교 졸업자,,https://www.dreamspon.com/scholarship/view.html?idx=5382
삼아사운드 삼아 장학,학비지원,대학생 전문대생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5415
경북도립대 인재육성장학,학비지원,대학생 전문대생,25세 미만,경북 도내인자,,https://www.dreamspon.com/scholarship/view.html?idx=5451
강원도 청년 구직활동 지원,생활비지원,청년,18~39 ,강원도 거주,,https://www.dreamspon.com/scholarship/view.html?idx=5377
도레이첨단소재 산학장학,학비지원,대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5432
여름방학 다품멘토링,학비지원,대학생,,대구지역 학생,,https://www.dreamspon.com/scholarship/view.html?idx=5405
해양사순부장학 ,학비지원,대학생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5403
LH대학생 주택건축대전,기타,대학생 대학원생,,,,https://www.dreamspon.com/scholarship/view.html?idx=5358
이천시 저소득층 대학생 등록금 지원,학비지원,대학생 전문대생,만29세 이하,이천시 주소를 둔 자,기초수급자 차상위계층 한부모가정 장애인 가정,https://www.dreamspon.com/scholarship/view.html?idx=5318
